CATEGORY,PARENT,ADVERTISER,PRODUCT,TITLE,TAGLINE,REVISION,DESCRIPTION,LANGUAGE,MEDIA TYPE,LINK,ADSCOPE ID,CORE CREATIVE ID,CREATIVE ATTRIBUTE(S),LAST PERIOD AIRED,LENGTH/SIZE,MARKET1,PROGRAM,FIRST SEEN,UNITS,DOLS
B429 Insurance: Comb Copy & NEC,State Farm Mutual Auto Ins Co,State Farm,State Farm : Various Insurance,Enjoy the New Normal,Like a good neighbor. State Farm is there.,,"Logo is featured. F-Annc For now we're all living a new normal.""She states that their world is now suddenly different and State Farm is there to help people by providing relief from financial burden. They are here to make this new normal to feel just a little more normal. statefarm.com""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22702462&mtid=1&ff=1,41224976.0,22702462,COVID19 Related=Y|,2020-05-04,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-03-27,39,1129307.0
"B519 Computers, General Promotion/Multi-Category/Corporate/Sponsorship",Apple Inc,Apple,Apple Inc : Corporate Promotion,Spend Your Time at Home,,,"A little boy is featured peeping through the window in black and white screen. Woman ... smile."" Another woman states that there is a possibility of winning them together. Various activities are featured within quarantine period. Text: [Creativity goes on]""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22756535&mtid=1&ff=1,41352192.0,22756535,Corporate Image=Y|COVID19 Related=Y|,2020-04-27,60,* NATIONAL,EMPIRE | VOICE,2020-04-10,4,1118400.0
"B670 Internet Commun,Cntnt Prvdrs,Prtls,Engns",Facebook Inc,Facebook,Facebook Messenger : Mobile App,Share A Link,,,No Description Available,English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22911336&mtid=1&ff=1,41684215.0,22911336,Non-Attributed Creative=Y|,2020-05-25,30,* NATIONAL,BIG BANG THEORY | VOICE,2020-05-19,20,1095656.0
G930 Corporate Advertising NEC,Amazon.com Inc,Amazon,Amazon.com Inc : Corporate Promotion,Taking Care of Poeple,,,Music & Text Only-No Words Spoken. Text: [We don't just think big] [we do big.] [We've shipped over 100 million masks] [for our employees and partners.] [We'll deliver 6 million meals] [in partnership with local food banks.] [We're spending $4 Billion to keep employees safe] [and get people what they need.] [And we'll never stop doing our part.],English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22890079&mtid=1&ff=1,41637931.0,22890079,Corporate Image=Y|COVID19 Related=Y|,2020-05-25,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-05-13,26,1072015.0
"B322 Religious, Charitable & Humanitarian",National Alliance On Mental Illness,NAMI,NAMI National Alliance On Mental Illness : Medical Organization,No Title Assigned - #22721967,,,No Description Available,English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22721967&mtid=1&ff=1,41276449.0,22721967,Non-Attributed Creative=Y|,2020-05-25,30,* NATIONAL,BIG BANG THEORY,2020-04-02,67,1062033.0
V598 Discount Department Stores Corporate Promotion/Sponsorship,Walmart Inc,Walmart,Walmart Stores Inc : Corporate Promotion,Heroes of the Nation,Here for you,,Music & Text Only-No Words Spoken. Text is featured. Text: [To America from our associates.] [Gabby] [Erin] [HEROES] [WORK HERE] [Vemen] [Makenna] [THIS TOO SHALL PASS] [ONE DAY AT A TIME] [Darius] [Here for you.] www.walmart.com/hereforyou,English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22727723&mtid=1&ff=1,41289177.0,22727723,Corporate Image=Y|COVID19 Related=Y|,2020-04-20,60,* NATIONAL,MODERN FAMILY | VOICE,2020-04-04,4,1044600.0
B121 Banking (Consumer),JP Morgan Chase & Co,Chase,Chase Bank : Consumer Mobile Banking,"Banking...Easier/Legalese, Scenes",MAKE MORE OF WHAT'S YOURS,Legalese has now changed. Some scenes have now changed.,"Two animated pictures are featured inside Chase Bank. F-Annc When you think of a bank you think of people in a place."" She states when you have the Chase mobile app your bank can be virtually any place. So when you get a cheque you can deposit it from the app and you can check your transactions as well as balance from the app. You can even save for emergency or pay bills. chase.com/mobile""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22900119&mtid=1&ff=1,41661811.0,22900119,Animated=Y|Mobile Apps=Y|COVID19 Related=Y|,2020-05-25,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY,2020-05-18,48,1041420.0
"B322 Religious, Charitable & Humanitarian",American Red Cross,American Red Cross,American Red Cross : Disaster Relief Organization,Easy And Safe to Give,,,"Tag of Amazon is featured along with text. Text: [Paid for by] F-Annc As we work to get through this times together you may not be thinking about blood donation."" She states that but blood is desperately needed now to save lives people who are sick with the range of serious illnesses. It's easy and safe to give. If you're in good health please donate. We need heroes now. Visit the website to schedule an appointment. RedCrossBlood.org""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22733017&mtid=1&ff=1,41300891.0,22733017,COVID19 Related=Y|,2020-05-18,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY,2020-04-06,38,1039259.0
D271 Adult Incontinence Products,Kimberly-Clark Corp,Poise,Poise : Bladder Control Pads,Handling Any Pressure,IT TAKES Poise,,"A woman is featured in front of a laptop. F-Annc Here is Candice."" She states that Candice work from home and she can handle even when her bladder makes a little drop off. Candice uses Poise which makes her tackle any pressure.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22758994&mtid=1&ff=1,41356610.0,22758994,,2020-05-25,15,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-04-11,54,978952.0
B223 Wireless Telecom Providers,America Movil SA,Straight Talk,Straight Talk : Pre-Paid Wireless Service,More Data at the Same Price,NO CONTRACT NO COMPROMISE,,"Tag is featured. M-Annc It's time for some straight talk from Straight Talk Wireless."" He states that some cellphone plans don't give you enough data but more is music to the ears. He mentions to get more of a good thing. Now go from 3GB of high-speed data to 5GB for the same price on their $35/mo. unlimited plan no contract all on America's largest and most dependable networks. Text: [TALK TEXT AND DATA] [5GB OF HIGH-SPEED DATA THEN 2G] He notes only at Walmart.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22820092&mtid=1&ff=1,41486677.0,22820092,Animated=Y|Comparative=Y|Co-Op=Y|Price Point=Y|,2020-05-25,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY,2020-04-27,37,951241.0
